TradeDate,Currency,Ticker,OptionType,TradedStockPrice,NumOptions,Strike,ExpiryDate
2013-02-11,USD,CALL,CHK,18.968781,330,18,2013-08-10
2013-02-13,USD,PUT,AMZN,269.47000099999997,400,272,2013-08-12
2013-02-13,USD,CALL,AMZN,269.47000099999997,220,275,2013-08-12
2013-02-13,USD,CALL,BA,74.779999,350,77,2014-02-08
2013-02-13,USD,CALL,XRX,21.080368,20,21,2013-08-12
2013-02-13,USD,PUT,CHK,19.460736999999998,970,19,2014-02-08
2013-02-13,USD,CALL,FB,27.91,730,27,2013-05-14
2013-02-14,USD,PUT,BA,74.93,820,72,2013-08-13
2013-02-15,USD,CALL,BA,75.029999,810,73,2013-05-16
2013-02-15,USD,PUT,CHK,18.930937,470,18,2013-05-16
2013-02-15,USD,PUT,CHK,18.930937,660,18,2013-05-16
2013-02-15,USD,CALL,BA,75.029999,10,76,2014-02-10
2013-02-15,USD,PUT,XRX,21.001317999999998,500,21,2013-05-16
2013-02-15,USD,CALL,AAPL,65.737144,570,62,2013-05-16
2013-02-15,USD,PUT,CHK,18.930937,820,18,2013-05-16
2013-02-15,USD,PUT,XRX,21.001317999999998,930,20,2014-02-10
2013-02-15,USD,CALL,CHK,18.930937,130,19,2014-02-10
2013-02-19,USD,CALL,AMZN,269.75,960,280,2014-02-14
2013-02-19,USD,CALL,MSFT,28.049999,500,29,2014-02-14
2013-02-19,USD,CALL,XRX,21.080368,490,20,2013-05-20
2013-02-19,USD,PUT,AAPL,65.71285999999999,650,68,2014-02-14
2013-02-19,USD,PUT,MSFT,28.049999,360,27,2013-05-20
2013-02-19,USD,CALL,CHK,19.262062,620,20,2014-02-14
2013-02-19,USD,PUT,FB,28.93,890,29,2013-08-18
2013-02-20,USD,PUT,CHK,19.148533,670,19,2014-02-15
2013-02-20,USD,CALL,MSFT,27.870001000000002,480,27,2013-05-21
2013-02-20,USD,CALL,XRX,20.711462,560,20,2013-05-21
2013-02-20,USD,PUT,XRX,20.711462,380,19,2013-08-19
2013-02-20,USD,PUT,MSFT,27.870001000000002,980,26,2013-08-19
2013-02-22,USD,CALL,FB,27.129998999999998,230,26,2014-02-17
2013-02-22,USD,CALL,CHK,19.394512,690,19,2013-08-21
2013-02-22,USD,CALL,MSFT,27.76,550,28,2013-08-21
2013-02-25,USD,PUT,BA,75.029999,10,78,2014-02-20
2013-02-25,USD,CALL,FB,27.27,150,26,2014-02-20
2013-02-25,USD,CALL,BA,75.029999,160,76,2014-02-20
2013-02-25,USD,CALL,MSFT,27.370001000000002,160,27,2013-08-24
2013-02-25,USD,CALL,CHK,18.07947,70,17,2014-02-20
2013-02-25,USD,PUT,BA,75.029999,360,74,2013-05-26
2013-02-25,USD,CALL,XRX,20.790514,630,20,2014-02-20
2013-02-25,USD,PUT,XRX,20.790514,490,20,2013-05-26
2013-02-26,USD,CALL,CHK,18.684957999999998,500,17,2013-08-25
2013-02-26,USD,CALL,AAPL,64.138573,530,61,2014-02-21
2013-02-26,USD,CALL,MSFT,27.370001000000002,880,27,2014-02-21
2013-02-26,USD,CALL,AMZN,259.359985,250,254,2014-02-21
2013-02-26,USD,CALL,BA,75.650002,790,74,2013-08-25
2013-02-26,USD,CALL,AMZN,259.359985,720,261,2013-05-27
2013-02-27,USD,PUT,XRX,21.554678,180,21,2014-02-22
2013-02-27,USD,CALL,MSFT,27.809998999999998,310,26,2013-08-26
2013-02-27,USD,CALL,AAPL,63.509997999999996,160,63,2013-08-26
2013-02-27,USD,PUT,MSFT,27.809998999999998,280,27,2013-08-26
2013-02-27,USD,CALL,AAPL,63.509997999999996,420,61,2013-05-28
2013-02-27,USD,PUT,AMZN,263.25,130,254,2013-08-26
2013-02-27,USD,PUT,MSFT,27.809998999999998,820,27,2013-08-26
2013-02-27,USD,PUT,AAPL,63.509997999999996,910,60,2013-05-28
2013-02-27,USD,PUT,CHK,19.053926,710,19,2014-02-22
2013-02-28,USD,CALL,AMZN,264.269989,960,274,2013-08-27
2013-02-28,USD,CALL,BA,76.900002,100,80,2014-02-23
2013-03-01,USD,CALL,BA,77.279999,540,78,2014-02-24
2013-03-01,USD,CALL,XRX,21.475626000000002,200,21,2013-08-28
2013-03-01,USD,PUT,BA,77.279999,200,77,2013-05-30
2013-03-01,USD,PUT,BA,77.279999,10,74,2013-08-28
2013-03-01,USD,PUT,MSFT,27.950001,420,29,2013-05-30
2013-03-04,USD,CALL,BA,77.089996,820,77,2014-02-27
2013-03-04,USD,PUT,BA,77.089996,390,75,2014-02-27
2013-03-04,USD,PUT,XRX,21.554678,500,21,2013-06-02
2013-03-04,USD,CALL,BA,77.089996,20,79,2013-08-31
2013-03-04,USD,PUT,CHK,18.438978,230,18,2014-02-27
2013-03-04,USD,PUT,MSFT,28.15,480,27,2014-02-27
2013-03-05,USD,CALL,FB,27.52,590,27,2014-02-28
2013-03-05,USD,PUT,BA,78.660004,850,77,2013-06-03
2013-03-05,USD,PUT,XRX,21.660079999999997,10,22,2013-09-01
2013-03-05,USD,PUT,MSFT,28.35,350,28,2013-06-03
2013-03-06,USD,PUT,XRX,22.424242,710,22,2013-09-02
2013-03-06,USD,PUT,BA,79.08000200000001,360,76,2013-06-04
2013-03-07,USD,PUT,AMZN,273.880005,910,285,2013-09-03
2013-03-07,USD,CALL,BA,81.050003,500,79,2014-03-02
2013-03-07,USD,PUT,BA,81.050003,80,83,2014-03-02
2013-03-07,USD,PUT,CHK,19.725639,890,19,2013-09-03
2013-03-07,USD,CALL,AAPL,61.51142900000001,20,59,2013-09-03
2013-03-11,USD,PUT,XRX,22.8195,300,23,2013-09-07
2013-03-11,USD,PUT,XRX,22.8195,510,22,2014-03-06
2013-03-11,USD,PUT,CHK,20.302744,0,19,2013-09-07
2013-03-11,USD,PUT,FB,28.139999,780,27,2013-06-09
2013-03-11,USD,CALL,CHK,20.302744,860,20,2014-03-06
2013-03-11,USD,PUT,BA,82.940002,160,80,2013-06-09
2013-03-11,USD,PUT,AAPL,62.552856000000006,670,64,2014-03-06
2013-03-12,USD,PUT,AAPL,61.204285,460,62,2013-06-10
2013-03-12,USD,CALL,BA,84.160004,760,87,2014-03-07
2013-03-12,USD,CALL,MSFT,27.91,860,27,2014-03-07
2013-03-13,USD,PUT,AMZN,275.100006,570,284,2014-03-08
2013-03-13,USD,PUT,CHK,20.245979000000002,530,20,2013-09-09
2013-03-13,USD,PUT,FB,27.08,880,27,2013-09-09
2013-03-13,USD,PUT,AAPL,61.192856000000006,470,60,2013-06-11
2013-03-14,USD,CALL,AAPL,61.785713,850,59,2013-09-10
2013-03-14,USD,PUT,AMZN,265.73999,800,260,2014-03-09
2013-03-15,USD,CALL,AMZN,261.820007,270,273,2014-03-10
2013-03-15,USD,PUT,FB,26.65,90,26,2014-03-10
2013-03-15,USD,PUT,AAPL,63.380001,830,65,2013-09-11
2013-03-19,USD,CALL,BA,85.510002,790,81,2014-03-14
2013-03-19,USD,CALL,CHK,19.905392000000003,520,20,2014-03-14
2013-03-19,USD,CALL,XRX,22.714098,360,23,2013-06-17
2013-03-20,USD,CALL,AAPL,64.58285500000001,360,63,2013-06-18
2013-03-20,USD,PUT,BA,85.370003,390,84,2013-06-18
2013-03-20,USD,PUT,AMZN,257.27999900000003,440,260,2013-09-16
2013-03-20,USD,PUT,FB,25.860001,960,24,2014-03-15
2013-03-20,USD,CALL,XRX,23.083004000000003,500,22,2014-03-15
2013-03-21,USD,PUT,AMZN,253.38999900000002,580,246,2013-06-19
2013-03-22,USD,CALL,AMZN,257.75,390,260,2013-06-20
2013-03-25,USD,CALL,BA,84.849998,190,80,2014-03-20
2013-03-25,USD,PUT,MSFT,28.16,680,29,2013-06-23
2013-03-25,USD,CALL,FB,25.129998999999998,220,24,2014-03-20
2013-03-25,USD,PUT,XRX,22.424242,330,21,2013-06-23
2013-03-25,USD,CALL,AAPL,66.225716,140,67,2014-03-20
2013-03-25,USD,CALL,AMZN,256.019989,340,266,2014-03-20
2013-03-25,USD,PUT,MSFT,28.16,320,29,2013-09-21
2013-03-25,USD,CALL,BA,84.849998,810,88,2013-09-21
2013-03-26,USD,CALL,CHK,19.61211,180,18,2014-03-21
2013-03-26,USD,CALL,CHK,19.61211,950,19,2013-06-24
2013-03-26,USD,PUT,AMZN,260.309998,220,258,2013-09-22
2013-03-27,USD,CALL,BA,86.199997,870,90,2014-03-22
2013-03-27,USD,PUT,AAPL,64.58285500000001,750,65,2014-03-22
2013-03-27,USD,CALL,BA,86.199997,250,89,2014-03-22
2013-03-27,USD,PUT,BA,86.199997,590,89,2014-03-22
2013-04-01,USD,PUT,BA,85.25,210,82,2013-09-28
2013-04-01,USD,PUT,FB,25.530001000000002,830,24,2014-03-27
2013-04-01,USD,CALL,FB,25.530001000000002,110,25,2014-03-27
2013-04-01,USD,PUT,BA,85.25,760,82,2014-03-27
2013-04-01,USD,CALL,CHK,19.252602,550,19,2014-03-27
2013-04-01,USD,PUT,AMZN,261.609985,620,263,2013-06-30
2013-04-01,USD,PUT,AAPL,61.27285799999999,180,58,2014-03-27
2013-04-02,USD,CALL,MSFT,28.799999,20,29,2013-09-29
2013-04-02,USD,PUT,XRX,23.320158,300,23,2014-03-28
2013-04-02,USD,CALL,MSFT,28.799999,130,29,2014-03-28
2013-04-02,USD,PUT,XRX,23.320158,690,22,2014-03-28
2013-04-03,USD,CALL,CHK,18.145695,650,17,2013-09-30
2013-04-03,USD,PUT,MSFT,28.559998999999998,250,28,2013-09-30
2013-04-03,USD,PUT,XRX,22.555994000000002,540,22,2014-03-29
2013-04-03,USD,PUT,AMZN,259.02999900000003,430,253,2013-09-30
2013-04-03,USD,PUT,CHK,18.145695,280,18,2014-03-29
2013-04-03,USD,PUT,CHK,18.145695,910,18,2013-09-30
2013-04-04,USD,PUT,XRX,22.8195,230,22,2013-07-03
2013-04-04,USD,CALL,AAPL,61.102856,400,61,2014-03-30
2013-04-04,USD,PUT,MSFT,28.6,240,29,2014-03-30
2013-04-04,USD,PUT,MSFT,28.6,810,27,2013-10-01
2013-04-04,USD,CALL,MSFT,28.6,30,29,2013-10-01
2013-04-04,USD,CALL,FB,27.07,790,28,2013-10-01
2013-04-04,USD,CALL,AMZN,259.079987,440,249,2014-03-30
2013-04-04,USD,CALL,AMZN,259.079987,170,247,2013-10-01
2013-04-04,USD,CALL,MSFT,28.6,920,28,2014-03-30
2013-04-05,USD,CALL,BA,86.16999799999999,150,82,2013-07-04
2013-04-05,USD,CALL,AAPL,60.457142000000005,670,63,2014-03-31
2013-04-05,USD,PUT,CHK,18.684957999999998,660,18,2014-03-31
2013-04-05,USD,CALL,AMZN,255.479996,930,258,2013-07-04
2013-04-05,USD,CALL,MSFT,28.700001,730,29,2013-10-02
2013-04-08,USD,CALL,AMZN,258.950012,160,265,2014-04-03
2013-04-08,USD,CALL,FB,26.85,610,27,2013-07-07
2013-04-08,USD,PUT,XRX,22.766798,570,23,2014-04-03
2013-04-09,USD,CALL,FB,26.59,410,26,2013-10-06
2013-04-09,USD,CALL,BA,87.209999,280,83,2013-10-06
2013-04-09,USD,CALL,XRX,23.135704,680,22,2013-10-06
2013-04-09,USD,CALL,XRX,23.135704,550,23,2013-07-08
2013-04-09,USD,CALL,BA,87.209999,920,84,2013-10-06
2013-04-10,USD,PUT,XRX,23.610014000000003,460,22,2013-10-07
2013-04-12,USD,CALL,BA,88.889999,750,89,2013-07-11
2013-04-12,USD,CALL,MSFT,28.790001,210,28,2014-04-07
2013-04-12,USD,PUT,XRX,23.873518,240,24,2013-07-11
2013-04-12,USD,PUT,FB,27.4,370,27,2013-10-09
2013-04-12,USD,CALL,MSFT,28.790001,910,27,2013-07-11
2013-04-15,USD,PUT,MSFT,28.690001000000002,910,30,2014-04-10
2013-04-15,USD,PUT,XRX,23.478260000000002,380,24,2013-07-14
2013-04-15,USD,PUT,AAPL,59.978573,480,57,2013-10-12
2013-04-15,USD,CALL,CHK,17.909178,860,17,2014-04-10
2013-04-15,USD,CALL,FB,26.52,760,27,2014-04-10
2013-04-16,USD,PUT,AAPL,60.89143000000001,550,63,2014-04-11
2013-04-16,USD,PUT,AMZN,272.339996,220,279,2014-04-11
2013-04-16,USD,CALL,BA,86.889999,790,83,2014-04-11
2013-04-16,USD,PUT,AMZN,272.339996,620,271,2014-04-11
2013-04-16,USD,PUT,AMZN,272.339996,980,261,2013-10-13
2013-04-16,USD,PUT,AMZN,272.339996,100,284,2014-04-11
2013-04-16,USD,CALL,MSFT,28.969998999999998,610,29,2013-07-15
2013-04-17,USD,PUT,XRX,23.504611999999998,80,24,2014-04-12
2013-04-17,USD,PUT,CHK,17.473983999999998,670,18,2014-04-12
2013-04-17,USD,PUT,AMZN,267.399994,890,273,2014-04-12
2013-04-17,USD,PUT,AMZN,267.399994,200,278,2013-10-14
2013-04-18,USD,PUT,CHK,17.937559,900,17,2013-07-17
2013-04-18,USD,CALL,MSFT,28.790001,980,29,2013-10-15
2013-04-18,USD,CALL,MSFT,28.790001,150,29,2014-04-13
2013-04-18,USD,PUT,CHK,17.937559,580,18,2013-07-17
2013-04-18,USD,CALL,MSFT,28.790001,140,28,2013-10-15
2013-04-18,USD,PUT,XRX,22.740448,980,23,2013-10-15
2013-04-19,USD,PUT,CHK,17.587511,260,17,2013-10-16
2013-04-19,USD,PUT,FB,25.73,870,25,2013-10-16
2013-04-22,USD,CALL,XRX,22.661396,30,21,2013-07-21
2013-04-22,USD,CALL,AAPL,56.952858,270,56,2013-10-19
2013-04-22,USD,PUT,AAPL,56.952858,490,55,2013-07-21
2013-04-22,USD,CALL,CHK,17.596973000000002,760,18,2013-07-21
2013-04-23,USD,CALL,FB,25.98,990,27,2014-04-18
2013-04-23,USD,PUT,FB,25.98,80,25,2014-04-18
2013-04-23,USD,PUT,FB,25.98,930,25,2014-04-18
2013-04-23,USD,PUT,FB,25.98,870,25,2014-04-18
2013-04-23,USD,PUT,FB,25.98,290,27,2013-10-20
2013-04-23,USD,CALL,XRX,22.23979,310,22,2014-04-18
2013-04-23,USD,PUT,BA,88.18,420,91,2013-07-22
2013-04-23,USD,CALL,MSFT,30.6,480,30,2013-07-22
2013-04-23,USD,PUT,CHK,17.918638,500,17,2013-07-22
2013-04-25,USD,CALL,XRX,22.424242,540,22,2014-04-20
2013-04-25,USD,PUT,MSFT,31.940001000000002,740,30,2013-07-24
2013-04-25,USD,PUT,AMZN,274.700012,970,284,2013-10-22
2013-04-25,USD,CALL,AAPL,58.34,650,59,2013-07-24
2013-04-25,USD,CALL,AMZN,274.700012,340,266,2014-04-20
2013-04-25,USD,PUT,AMZN,274.700012,360,277,2014-04-20
2013-04-25,USD,CALL,MSFT,31.940001000000002,490,31,2013-07-24
2013-04-25,USD,CALL,MSFT,31.940001000000002,290,30,2014-04-20
2013-04-25,USD,PUT,FB,26.139999,350,26,2013-10-22
2013-04-26,USD,PUT,XRX,22.081685999999998,130,22,2013-10-23
2013-04-26,USD,PUT,AAPL,59.599998,520,57,2013-07-25
2013-04-26,USD,PUT,XRX,22.081685999999998,740,22,2013-07-25
2013-04-29,USD,PUT,MSFT,32.610001000000004,730,31,2013-07-28
2013-04-29,USD,CALL,BA,91.900002,570,89,2013-07-28
2013-04-29,USD,PUT,XRX,22.26614,730,23,2013-10-26
2013-04-29,USD,CALL,CHK,18.287607,280,18,2014-04-24
2013-04-29,USD,CALL,XRX,22.26614,640,22,2014-04-24
2013-04-29,USD,CALL,FB,26.98,20,27,2013-10-26
2013-05-01,USD,PUT,XRX,21.949934,40,22,2014-04-26
2013-05-01,USD,PUT,FB,27.43,540,27,2014-04-26
2013-05-01,USD,CALL,MSFT,32.720001,30,32,2014-04-26
2013-05-01,USD,CALL,CHK,18.155155,60,17,2014-04-26
2013-05-01,USD,PUT,AAPL,62.755714000000005,400,62,2013-07-30
2013-05-01,USD,CALL,CHK,18.155155,770,17,2014-04-26
2013-05-01,USD,CALL,AMZN,248.229996,820,255,2013-07-30
2013-05-02,USD,CALL,MSFT,33.16,40,34,2013-07-31
2013-05-03,USD,PUT,CHK,18.211920000000003,540,18,2013-08-01
2013-05-06,USD,CALL,AAPL,65.815712,810,63,2014-05-01
2013-05-07,USD,PUT,FB,26.889999,330,27,2013-11-03
2013-05-07,USD,CALL,CHK,18.098392,360,17,2013-11-03
2013-05-08,USD,PUT,AAPL,66.262856,190,63,2013-08-06
2013-05-08,USD,CALL,BA,94.040001,400,95,2014-05-03
2013-05-08,USD,PUT,AMZN,258.679993,570,255,2013-11-04
2013-05-08,USD,PUT,CHK,18.155155,580,17,2014-05-03
2013-05-09,USD,CALL,BA,94.610001,850,92,2014-05-04
2013-05-10,USD,CALL,FB,26.68,370,27,2013-08-08
2013-05-10,USD,CALL,AMZN,263.630005,80,270,2013-08-08
2013-05-13,USD,CALL,XRX,23.42556,930,23,2014-05-08
2013-05-13,USD,PUT,FB,26.82,490,27,2014-05-08
2013-05-13,USD,CALL,CHK,19.451276999999997,260,19,2013-11-09
2013-05-13,USD,PUT,AAPL,64.96285999999999,560,63,2013-08-11
2013-05-13,USD,PUT,XRX,23.42556,60,24,2013-08-11
2013-05-13,USD,CALL,MSFT,33.029999,320,32,2013-11-09
2013-05-13,USD,CALL,XRX,23.42556,670,24,2013-11-09
2013-05-13,USD,PUT,BA,94.760002,250,95,2013-08-11
2013-05-13,USD,PUT,BA,94.760002,780,94,2013-08-11
2013-05-14,USD,CALL,XRX,23.504611999999998,700,24,2014-05-09
2013-05-14,USD,CALL,AMZN,268.329987,830,272,2013-08-12
2013-05-14,USD,PUT,BA,96.110001,820,99,2013-11-10
2013-05-14,USD,PUT,AMZN,268.329987,210,267,2013-08-12
2013-05-14,USD,CALL,BA,96.110001,310,92,2013-11-10
2013-05-14,USD,CALL,AAPL,63.408573,480,65,2013-11-10
2013-05-14,USD,PUT,AAPL,63.408573,920,63,2013-08-12
2013-05-14,USD,PUT,CHK,19.640491,130,19,2013-08-12
2013-05-14,USD,CALL,FB,27.07,830,26,2013-11-10
2013-05-15,USD,CALL,FB,26.6,770,25,2013-08-13
2013-05-17,USD,PUT,MSFT,34.869999,0,36,2013-08-15
2013-05-17,USD,PUT,AAPL,61.894287,100,63,2013-11-13
2013-05-17,USD,PUT,AMZN,269.899994,590,259,2013-11-13
2013-05-17,USD,PUT,MSFT,34.869999,990,36,2013-11-13
2013-05-17,USD,PUT,BA,98.91999799999999,290,94,2013-11-13
2013-05-17,USD,CALL,BA,98.91999799999999,630,101,2013-11-13
2013-05-20,USD,PUT,XRX,23.610014000000003,270,23,2014-05-15
2013-05-20,USD,CALL,CHK,19.678335,0,19,2014-05-15
2013-05-20,USD,CALL,MSFT,35.080002,610,36,2013-11-16
2013-05-20,USD,PUT,CHK,19.678335,390,20,2014-05-15
2013-05-21,USD,PUT,CHK,19.725639,30,20,2013-11-17
2013-05-21,USD,CALL,MSFT,34.849998,190,36,2014-05-16
2013-05-21,USD,PUT,BA,98.75,370,97,2013-11-17
2013-05-21,USD,CALL,FB,25.66,870,26,2013-08-19
2013-05-21,USD,PUT,CHK,19.725639,190,19,2014-05-16
2013-05-21,USD,PUT,AAPL,62.80857099999999,160,64,2013-11-17
2013-05-21,USD,PUT,AMZN,268.859985,130,274,2013-08-19
2013-05-21,USD,CALL,FB,25.66,550,26,2013-08-19
2013-05-23,USD,CALL,MSFT,34.150002,310,34,2014-05-18
2013-05-23,USD,CALL,FB,25.059998999999998,810,23,2014-05-18
2013-05-23,USD,CALL,AMZN,261.799988,100,265,2014-05-18
2013-05-23,USD,PUT,MSFT,34.150002,800,33,2013-08-21
2013-05-23,USD,PUT,MSFT,34.150002,430,32,2013-11-19
2013-05-23,USD,PUT,AMZN,261.799988,70,260,2013-11-19
2013-05-24,USD,CALL,AMZN,261.73999,350,255,2013-08-22
2013-05-24,USD,CALL,MSFT,34.27,750,34,2014-05-19
2013-05-24,USD,CALL,CHK,20.501419,230,20,2014-05-19
2013-05-24,USD,CALL,FB,24.309998999999998,480,24,2013-11-20
2013-05-24,USD,PUT,CHK,20.501419,990,20,2014-05-19
2013-05-24,USD,PUT,AAPL,63.592856999999995,90,63,2014-05-19
